"mois","jour","hrmn","lum","dep","int","agg","com","atm","col","gps","lat","long","catr","circ","nbv","prof","plan","surf","situ","catu","place","sexe","an_nais","trajet","secu","catv","obsm","choc","manv","grav"
9,25,830,"2",620,"1","2",268,"7","6","M",5067010,183264,"4","2","2","2","1","1","1","1","1","2",1988,"2","11","7","1","2","21","0"
10,22,745,"2",620,"3","2",25,"1","1","M",5081283,160611,"3","2","2","1","1","2","1","1","1","1",1963,"1","11","7","2","2","15","0"
10,22,745,"2",620,"3","2",25,"1","1","M",5081283,160611,"3","2","2","1","1","2","1","1","1","1",1996,"1","21","30","2","1","1","1"
11,26,700,"5",620,"1","2",329,"8","6","M",5083147,175791,"4","2","2","1","1","2","1","1","1","1",1996,"2","11","7","1","2","1","0"
12,17,1715,"5",620,"1","1",408,"1","2","M",5090440,186879,"3","2","2","1","1","1","1","1","1","2",1996,"3","11","7","2","2","1","0"
12,17,1715,"5",620,"1","1",408,"1","2","M",5090440,186879,"3","2","2","1","1","1","1","1","1","1",2000,"5","21","30","2","4","15","1"
5,14,1730,"1",620,"3","2",170,"2","3","M",5043316,267485,"3","2","2","1","1","2","1","1","1","2",1989,"5","11","3","2","2","13","0"
5,14,1730,"1",620,"3","2",170,"2","3","M",5043316,267485,"3","2","2","1","1","2","1","1","1","1",1975,"5","11","7","2","3","15","0"
9,13,2300,"4",620,"1","1",443,"2","3","M",5043883,265640,"3","3","4","1","1","2","1","1","1","1",1973,"5","11","7","2","6","17","1"
9,13,2300,"4",620,"1","1",443,"2","3","M",5043883,265640,"3","3","4","1","1","2","1","1","1","1",1991,"5","11","7","2","6","1","0"
12,20,1500,"1",620,"1","1",443,"1","5","M",5044234,264424,"3","3","2","1","1","1","1","1","1","1",1985,"5","21","33","2","1","3","1"
12,20,1500,"1",620,"1","1",443,"1","5","M",5044234,264424,"3","3","2","1","1","1","1","1","1","1",1981,"5","11","7","2","2","11","0"
12,20,1500,"1",620,"1","1",443,"1","5","M",5044234,264424,"3","3","2","1","1","1","1","1","1","1",1953,"5","11","7","2","6","1","0"
3,16,1200,"1",620,"2","1",312,"1","3","M",5049719,181740,"3","2","2","1","1","1","1","1","1","2",1992,"9","11","7","2","7","15","0"
3,16,1200,"1",620,"2","1",312,"1","3","M",5049719,181740,"3","2","2","1","1","1","1","1","1","1",1965,"9","11","7","2","1","1","0"
7,10,1545,"1",620,"1","2",176,"1","3","M",5049908,169532,"3","2","2","1","1","1","1","1","1","1",1977,"4","11","7","2","3","1","1"
7,10,1545,"1",620,"1","2",176,"1","3","M",5049908,169532,"3","2","2","1","1","1","1","1","1","1",1980,"4","11","14","2","3","1","0"
10,16,1200,"1",620,"1","2",318,"2","6","M",5051529,164226,"4","1","1","1","1","2","1","1","1","2",1944,"5","11","10","1","1","1","0"
10,28,915,"1",620,"1","1",201,"2","6","M",5054921,161872,"3","2","2","1","1","2","1","1","1","1",1976,"4","11","15","1","4","23","0"
2,12,1645,"1",620,"1","2",783,"1","6","M",5034599,185577,"3","2","2","1","1","1","1","1","1","1",1985,"1","11","10","1","7","1","0"
6,28,1145,"1",620,"1","1",481,"1","6","M",5028172,198090,"3","2","2","1","3","1","1","1","1","1",1990,"5","21","33","9","1","1","1"
10,26,1700,"2",620,"1","1",743,"1","3","M",5035228,203456,"3","3","3","3","1","1","1","1","1","2",1988,"5","11","7","2","7","15","0"
10,26,1700,"2",620,"1","1",743,"1","3","M",5035228,203456,"3","3","3","3","1","1","1","1","1","1",1987,"5","21","2","2","1","1","1"
2,3,1730,"2",620,"1","2",431,"1","6","M",5065706,221730,"4","2","2","1","1","1","1","1","1","1",1954,"5","13","7","1","2","17","0"
5,28,900,"1",620,"1","1",313,"1","3","M",5058725,232988,"3","2","2","1","1","1","1","1","1","1",1967,"1","11","7","2","3","19","0"
5,28,900,"1",620,"1","1",313,"1","3","M",5058725,232988,"3","2","2","1","1","1","1","1","1","1",1978,"4","11","7","2","2","1","1"
6,13,1845,"1",620,"2","1",543,"1","3","M",5061636,230404,"3","2","2","2","1","1","1","1","1","1",1988,"5","11","7","2","2","1","0"
6,13,1845,"1",620,"2","1",543,"1","3","M",5061636,230404,"3","2","2","2","1","1","1","1","1","1",1996,"5","21","31","2","8","19","1"
6,18,1845,"1",620,"1","2",875,"1","1","M",5070905,234110,"4","1","2","1","2","1","1","1","1","1",1998,"5","21","2","2","1","5","1"
6,18,1845,"1",620,"1","2",875,"1","1","M",5070905,234110,"4","1","2","1","2","1","1","1","1","2",1977,"1","11","7","2","3","1","0"
7,25,1900,"1",620,"1","1",38,"1","1","M",5088619,197221,"3","2","2","1","1","1","1","1","1","2",1951,"5","11","7","2","3","13","0"
9,23,1515,"1",620,"1","2",485,"1","2","M",5055301,225889,"3","2","2","1","1","1","1","1","1","1",1970,"1","21","32","2","2","2","1"
9,23,1515,"1",620,"1","2",485,"1","2","M",5055301,225889,"3","2","2","1","1","1","1","1","1","1",1965,"4","11","7","2","6","2","0"
2,26,1400,"1",620,"1","2",467,"2","1","M",5040535,220519,"3","2","2","1","1","2","1","1","1","2",1967,"1","11","7","2","7","13","1"
2,26,1400,"1",620,"1","2",467,"2","1","M",5040535,220519,"3","2","2","1","1","2","1","1","1","1",1973,"4","11","15","2","1","1","0"
5,15,1900,"1",620,"1","1",282,"1","1","M",5038871,218571,"3","2","3","1","1","1","1","1","1","2",1973,"5","11","7","2","1","13","0"
5,15,1900,"1",620,"1","1",282,"1","1","M",5038871,218571,"3","2","3","1","1","1","1","1","1","1",1974,"5","11","7","2","1","1","1"
6,18,1915,"1",620,"1","2",868,"1","3","M",5034854,212994,"3","2","2","1","4","1","1","1","1","1",2000,"5","21","30","2","1","13","1"
6,18,1915,"1",620,"1","2",868,"1","3","M",5034854,212994,"3","2","2","1","4","1","1","1","1","1",1957,"5","11","7","2","3","13","0"
6,26,1200,"1",620,"9","1",451,"1","1","M",5047660,227821,"3","2","2","2","1","1","1","1","1","1",1947,"4","11","7","9","7","1","0"
6,26,1200,"1",620,"9","1",451,"1","1","M",5047660,227821,"3","2","2","2","1","1","1","1","1","1",2001,"5","21","1","2","1","9","1"
7,13,1500,"1",620,"1","1",740,"2","1","M",5048132,236323,"3","2","2","1","2","2","1","1","1","2",1961,"9","11","7","2","1","13","1"
7,13,1500,"1",620,"1","1",740,"2","1","M",5048132,236323,"3","2","2","1","2","2","1","1","1","1",1971,"5","11","7","2","1","1","0"
2,10,1715,"1",620,"2","1",45,"1","3","M",5034289,259200,"3","2","2","1","1","1","1","1","1","1",1960,"4","11","15","2","1","1","0"
2,10,1715,"1",620,"2","1",45,"1","3","M",5034289,259200,"3","2","2","1","1","1","1","1","1","2",1929,"5","11","7","2","8","19","1"
7,8,1430,"1",620,"3","2",84,"1","3","M",5024991,254923,"4","2","2","2","3","1","1","1","1","1",1967,"1","21","33","2","2","1","1"
7,8,1430,"1",620,"3","2",84,"1","3","M",5024991,254923,"4","2","2","2","3","1","1","1","1","2",1967,"5","11","7","2","2","15","0"
